SCENE,KEY,SENTENCE,END_TIME,SPEAKER,SHOW,Sarcasm,Sarcasm_Type,Implicit_Emotion,Explicit_Emotion,Valence,Arousal
1_11098,1_11098_u,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",0:09,BERNADETTE,BBT,1,PRO,Ridicule,Surprise,3,7
1_11120,1_11120_u,"Next time I might be in a rush, it's good to have a few in the bank.",0:04,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_11177,1_11177_u,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,0:05,SHELDON,BBT,1,EMB,Frustration,Sadness,4,7
1_11201,1_11201_u,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",0:07,AMY,BBT,0,NONE,Fear,Fear,4,6
1_11224,1_11224_u,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,0:1,HOWARD,BBT,1,EMB,Sadness,Sadness,3,8
1_11232,1_11232_u,"And I love that I work and do all the cleaning, and you're okay with that.",0:06,BERNADETTE,BBT,1,PRO,Anger,Happiness,3,8
1_11236,1_11236_u,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",0:12,SHELDON,BBT,0,NONE,Anger,Anger,3,7
1_11242,1_11242_u,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",0:09,BERNADETTE,BBT,1,EMB,Anger,Happiness,2,8
1_11243,1_11243_u,I love that you're too good to pee in the kitchen sink.,0:05,HOWARD,BBT,1,PRO,Anger,Happiness,3,7
1_11253,1_11253_u,"So as they say, all good things must come to an end.",0:07,SHELDON,BBT,0,NONE,Happiness,Happiness,6,6
1_11257,1_11257_u,Doesn't Professor Abbott's family want any of this stuff?,0:04,HOWARD,BBT,0,NONE,Sadness,Sadness,4,5
1_11306,1_11306_u,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",0:15,HOWARD,BBT,0,NONE,Sadness,Sadness,4,6
1_11322,1_11322_u,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",0:06,PENNY,BBT,1,PRO,Disgust,Happiness,4,7
1_11378,1_11378_u,Are you sure a dummy like me can handle something as complicated as a blanket?,0:06,HOWARD,BBT,1,LIK,Anger,Neutral,4,6
1_11439,1_11439_u,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",0:07,PENNY,BBT,1,PRO,Disgust,Neutral,3,7
1_1144,1_1144_u,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",0:07,SHELDON,BBT,1,PRO,Disgust,Neutral,4,6
1_11485,1_11485_u,Is that why you had to take him to Office Depot last night?,0:04,PENNY,BBT,0,NONE,Disgust,Disgust,4,6
1_11526,1_11526_u,"As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?",0:13,SHELDON,BBT,0,NONE,Happiness,Happiness,6,6
1_11529,1_11529_u,"And how difficult it is to do when she's bloated, cranky and crampy?",0:05,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_11609,1_11609_u,"I've, uh, created some other user accounts so I can post positive comments about their paper.",0:06,RAJ,BBT,0,NONE,Happiness,Happiness,6,5
1_11697,1_11697_u,The answer's in this puzzle box. Let's see if you can open it.,0:05,PENNY,BBT,1,ILL,Anger,Happiness,3,8
1_11699,1_11699_u,"No, Stuart picked out those throw pillows all on his own.",0:04,RAJ,BBT,1,PRO,Ridicule,Sadness,4,7
1_11723,1_11723_u,"Not much, but he seemed to be in a pretty good place.",0:04,RAJ,BBT,0,NONE,Sadness,Sadness,4,5
1_11736,1_11736_u,"I don't know, perhaps somebody took it off the carousel by mistake?",0:03,PERSON,BBT,0,NONE,Sadness,Sadness,4,6
1_11773,1_11773_u,This is why I've been saying we should keep champagne on ice.,0:06,PENNY,BBT,1,PRO,Sadness,Excitement,2,8
1_1180,1_1180_u,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",0:7,SHELDON,BBT,1,PRO,Frustration,Sadness,3,9
1_1185,1_1185_u,I think tonight was a very good start.,0:03,LEONARD,BBT,0,NONE,Happiness,Happiness,6,7
1_11885,1_11885_u,"Yeah, turns out half a dozen menorahs really sets a mood.",0:05,PERSON,BBT,1,PRO,Ridicule,Neutral,4,6
1_11889,1_11889_u,"Yeah, we just want to have the kind of dinner that we've all had here so many times before.",0:04,BERNADETTE,BBT,0,NONE,Happiness,Happiness,7,7
1_1189,1_1189_u,"I'm sorry, I am not going back to the Renaissance fair.",0:04,SHELDON,BBT,0,NONE,Frustration,Frustration,3,7
1_11901,1_11901_u,"Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned.",0:16,SHELDON,BBT,1,PRO,Disgust,Happiness,2,8
1_11913,1_11913_u,It's why my people wandered the desert for 40 years. Took that long to walk it off.,0:07,HOWARD,BBT,1,PRO,Ridicule,Sadness,4,6
1_11924,1_11924_u,"All right, Amy's in charge of pricing and being 75.",0:05,HOWARD,BBT,1,PRO,Ridicule,Neutral,4,6
1_11928,1_11928_u,"And if I had a friend, they might have told me that.",0:04,AMY,BBT,0,NONE,Sadness,Sadness,4,3
1_12002,1_12002_u,Then buckle up; you're in for a cranky night.,0:04,SHELDON,BBT,0,NONE,Frustration,Frustration,3,7
1_12083,1_12083_u,"Oh, just put it in your mouth and pop it like a zit.",0:04,HOWARD,BBT,0,NONE,Happiness,Happiness,6,7
1_12202,1_12202_u,"No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",0:06,LEONARD,BBT,1,PRO,Sadness,Neutral,3,7
1_12275,1_12275_u,"Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice.",0:08,PERSON,BBT,0,NONE,Sadness,Sadness,4,6
1_12320,1_12320_u,"Oh, yes, we've got the moon and the trees and... Elizabeth McNulty, who apparently died when she was the same age I am.",0:11,RAJ,BBT,0,NONE,Fear,Fear,3,8
1_12331,1_12331_u,"Wow, there's a Denny's in Vegas you can actually get married in.",0:04,PENNY,BBT,0,NONE,Surprise,Surprise,6,6
1_1262,1_1262_u,You were very clear. As was everyone else at the table.,0:04,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_1296,1_1296_u,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.",0:06,HOWARD,BBT,1,EMB,Frustration,Surprise,3,7
1_1466,1_1466_u,"Maybe when I publish it, I'll include an inhaler.",0:04,SHELDON,BBT,1,PRO,Ridicule,Neutral,3,6
1_1470,1_1470_u,I don't know. It just died. I'm getting a bunch of static.,0:03,PENNY,BBT,0,NONE,Sadness,Sadness,3,6
1_1478,1_1478_u,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.",0:11,HOWARD,BBT,1,EMB,Sadness,Happiness,2,6
1_1484,1_1484_u,The big deal is that nobody touches food on my plate.,0:04,SHELDON,BBT,0,NONE,Anger,Anger,3,7
1_1549,1_1549_u,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,0:05,HOWARD,BBT,1,PRO,Disgust,Neutral,2,8
1_1560,1_1560_u,How nice. Maybe they can carpool when they visit you in federal prison.,0:04,SHELDON,BBT,1,PRO,Disgust,Happiness,3,7
1_162,1_162_u,"Sheldon, if you were a robot, and I knew and you didn't...",0:06,HOWARD,BBT,0,NONE,Neutral,Neutral,5,5
1_1627,1_1627_u,"What do you think I did? I discreetly slipped off the other earring, put it in my pocket and then got the hell out of there!",0:08,PERSON,BBT,0,NONE,Excitement,Excitement,6,7
1_1638,1_1638_u,The blunt instrument that will be the focus of my murder trial?,0:04,LEONARD,BBT,1,PRO,Frustration,Neutral,3,8
1_1666,1_1666_u,Would it work if I just punched you in the face?,0:03,LEONARD,BBT,0,NONE,Frustration,Frustration,3,7
1_1678,1_1678_u,Answering the question once and for all why Wolowitz bailed out of medical school.,0:05,RAJ,BBT,0,NONE,Disgust,Disgust,3,6
1_1722,1_1722_u,My aunt Marion gave them to me for my 12th birthday.,0:03,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_1732,1_1732_u,You were right. Your larynx is terribly inflamed. I've never seen anything like it.,0:06,PERSON,BBT,1,ILL,Ridicule,Surprise,3,8
1_175,1_175_u,"If you're compiling a mix CD for a double suicide. Oh, I hope that scratching post is for you.",0:07,SHELDON,BBT,1,PRO,Disgust,Neutral,4,7
1_1772,1_1772_u,"""Dave."" Sounds like Leonard's got a new BFF.",0:05,HOWARD,BBT,1,PRO,Anger,Excitement,3,8
1_1798,1_1798_u,"If you don't like this stuff, let's go next door and build her a bear.",0:04,RAJ,BBT,1,PRO,Anger,Sadness,3,7
1_1803,1_1803_u,"- Maybe I heard you wrong. A lot of words sound like ""yoga.""",0:06,LEONARD,BBT,1,PRO,Sadness,Neutral,2,7
1_182,1_182_u,No. The dark crescent-shaped patterns under your arms conceal it nicely.,0:05,SHELDON,BBT,1,PRO,Disgust,Happiness,3,7
1_1931,1_1931_u,Why don't you just lie down on the floor and swim there?,0:05,LEONARD,BBT,1,PRO,Disgust,Neutral,4,6
1_1973,1_1973_u,I hope I'm a waitress at the Cheesecake Factory for my whole life.,0:05,PENNY,BBT,1,PRO,Frustration,Happiness,4,7
1_1987,1_1987_u,"When I didn't pay my bill, the Department of Water and Power thought I would enjoy the ambience.",0:06,PENNY,BBT,1,EMB,Sadness,Happiness,4,6
1_2075,1_2075_u,There's no hurry. Tell them more about their secret love for each other.,0:04,LEONARD,BBT,0,NONE,Excitement,Excitement,6,6
1_2119,1_2119_u,"Kind of makes you feel more alive, doesn't it?",0:04,PERSON,BBT,1,PRO,Disgust,Excitement,3,8
1_213,1_213_u,"How's this? ""Pleased to meet you, Dr. Gablehauser. ""How fortunate for you that the university's ""chosen to hire you, despite the fact ""that you've done no original research in 25 years, ""and instead have written a series of popular books ""that reduce the great concepts of science ""to a series of anecdotes, ""each one dumbed down to accommodate the duration ""of an average bowel movement.",0:2,SHELDON,BBT,1,EMB,Frustration,Happiness,2,8
1_2198,1_2198_u,"Assuming I can keep up this pace, three hours, 11 minutes. Plus however long it takes to conclude this fairly pointless conversation.",0:08,SHELDON,BBT,1,PRO,Anger,Neutral,4,6
1_2216,1_2216_u,"Excuse me, but what about me? Why don't I get a shot?",0:04,LEONARD,BBT,0,NONE,Surprise,Surprise,6,7
1_2354,1_2354_u,"So? Do cocaine smugglers write ""cocaine"" on the box?",0:04,SHELDON,BBT,1,PRO,Frustration,Neutral,3,6
1_2361,1_2361_u,Thank you so much for giving me the opportunity to help.,0:04,LEONARD,BBT,0,NONE,Happiness,Happiness,6,7
1_2420,1_2420_u,You know this can go on all night. Why don't you just come with us?,0:04,LEONARD,BBT,0,NONE,Neutral,Neutral,5,5
1_2423,1_2423_u,Provided he has already read and is familiar with the reestablishment of the DC multiverse.,0:07,SHELDON,BBT,0,NONE,Disgust,Disgust,4,6
1_2464,1_2464_u,"You think ""coffee,"" means coffee. That is so sweet.",0:04,PENNY,BBT,1,PRO,Frustration,Happiness,4,7
1_2575,1_2575_u,"You don't really believe in that superstition, do you?",0:03,SHELDON,BBT,0,NONE,Surprise,Surprise,6,6
1_2580,1_2580_u,"Okay, here's an idea. What if I change my name and go live with my cousin and her husband, Avi, in Israel?",0:06,HOWARD,BBT,1,PRO,Frustration,Excitement,3,7
1_2614,1_2614_u,Hardly a day goes by when I don't think about it.,0:04,LEONARD,BBT,1,PRO,Frustration,Neutral,4,6
1_2616,1_2616_u,"Sure, maybe a tableau of me trying to pummel you to death.",0:05,LEONARD,BBT,1,PRO,Frustration,Excitement,3,8
1_2664,1_2664_u,"Terrific, it's just that... I don't think Penny wants me to go.",0:05,LEONARD,BBT,0,NONE,Sadness,Sadness,3,7
1_2669,1_2669_u,What did you mean when you said you were going to miss me?,0:04,LEONARD,BBT,0,NONE,Surprise,Surprise,6,6
1_276,1_276_u,"Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough.",0:08,LEONARD,BBT,1,PRO,Frustration,Neutral,3,8
1_2778,1_2778_u,"Ooh, big talk from a man who was once treed by a chicken.",0:05,RAJ,BBT,1,PRO,Disgust,Neutral,2,8
1_2792,1_2792_u,"No, I mean, we can always go back to being friends.",0:03,PENNY,BBT,0,NONE,Neutral,Neutral,5,5
1_2797,1_2797_u,It's an iCal download. She can put it right in her phone.,0:04,SHELDON,BBT,1,PRO,Anger,Neutral,3,6
1_2819,1_2819_u,"You know, I've always wanted to go to a Goth nightclub.",0:04,SHELDON,BBT,1,ILL,Disgust,Excitement,3,6
1_2830,1_2830_u,"No, I'm behind on my Wiki-reading. I'm kind of on a John Grisham kick right now.",0:06,RAJ,BBT,0,NONE,Sadness,Sadness,4,6
1_2837,1_2837_u,"- Chocolate? - No, I don't want any chocolate!",0:04,LEONARD,BBT,0,NONE,Frustration,Frustration,3,8
1_2842,1_2842_u,"Oh, you know, Goth stuff. Goth magazines, Goth music.",0:05,HOWARD,BBT,0,NONE,Excitement,Excitement,6,7
1_2853,1_2853_u,"Obviously, waitressing at The Cheese Cake Factory is a complex socio-economic activity that requires a great deal of analysis and planning.",0:1,SHELDON,BBT,1,EMB,Frustration,Neutral,3,7
1_3064,1_3064_u,When I have enough to destroy all the human toast on the Battlestar known as Galactica.,0:05,SHELDON,BBT,1,PRO,Ridicule,Neutral,4,7
1_3069,1_3069_u,Seems like an awful lot of trouble to go through for intercourse.,0:04,SHELDON,BBT,0,NONE,Frustration,Frustration,4,5
1_3125,1_3125_u,"But if she dumps you, she'll have a new boyfriend by tomorrow morning and you'll have a new girlfriend when you figure out how to build one.",0:07,HOWARD,BBT,1,EMB,Disgust,Neutral,3,8
1_3177,1_3177_u,"Not a great movie, but look at that beautiful desert.",0:05,RAJ,BBT,0,NONE,Happiness,Happiness,4,6
1_3204,1_3204_u,Right. That was so good! Sweety and meaty at the same time.,0:08,RAJ,BBT,0,NONE,Sadness,Sadness,6,7
1_3256,1_3256_u,"I'm sorry, fiddling with yourself in the bathtub is a real class act.",0:05,PERSON,BBT,1,PRO,Disgust,Happiness,3,8
1_3259,1_3259_u,"No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.",0:09,PERSON,BBT,1,PRO,Disgust,Neutral,4,8
1_3287,1_3287_u,"Oh, sure. And while we're at it, why don't we put our hands behind our backs, have an old-fashioned eating contest?",0:05,SHELDON,BBT,1,PRO,Frustration,Happiness,2,7
1_3293,1_3293_u,Leonard's work is nearly as amazing as third graders growing lima beans in wet paper towels.,0:06,SHELDON,BBT,1,LIK,Disgust,Happiness,3,7
1_3333,1_3333_u,"Okay, I got a bone to pick with you.",0:04,HOWARD,BBT,0,NONE,Anger,Anger,4,6
1_3348,1_3348_u,"Raj, you should've seen Leonard's experiment. The interference pattern was so cool when the electron beam was on.",0:2,BERNADETTE,BBT,0,NONE,Happiness,Happiness,4,6
1_3371,1_3371_u,"I was going to ask Leonard to do it, but he seemed a bit emotionally unstable and you don't want someone like that operating heavy machinery.",0:09,PERSON,BBT,0,NONE,Disgust,Disgust,4,6
1_340,1_340_u,"Sure, cut the foreigner in half. There's a billion more where he came from.",0:06,RAJ,BBT,1,PRO,Frustration,Neutral,3,7
1_3419,1_3419_u,"Oh, we don't need to talk about that anymore. Leonard covered it pretty well in the car.",0:05,PENNY,BBT,1,PRO,Disgust,Neutral,4,6
1_3476,1_3476_u,Don't you think looking for a new city to live in is a bit of an overreaction?,0:05,LEONARD,BBT,0,NONE,Surprise,Surprise,6,7
1_3545,1_3545_u,"I understand your point, but given a choice, Jews always go with Chinese food.",0:07,HOWARD,BBT,1,PRO,Disgust,Neutral,4,6
1_3573,1_3573_u,"Well, I always figured it was to study us, discover our weaknesses, and report back to your alien overlords.",0:07,PENNY,BBT,1,EMB,Disgust,Excitement,3,7
1_3599,1_3599_u,Why don't you keep that stuff in the bathroom?,0:05,HOWARD,BBT,0,NONE,Surprise,Surprise,4,6
1_3649,1_3649_u,"Oh, no, no, I said I'm inviting you to come with me to Stan Lee's house.",0:04,PENNY,BBT,0,NONE,Neutral,Neutral,5,5
1_3660,1_3660_u,There a new girlfriend in there? 'Cause you might need one.,0:03,PENNY,BBT,1,PRO,Frustration,Neutral,2,8
1_3707,1_3707_u,"Oh, I'm so glad you asked it like that. You.",0:03,LEONARD,BBT,1,PRO,Disgust,Happiness,4,7
1_3766,1_3766_u,Can we please talk about something else? Maybe something vaguely related to life as we know it on this planet?,0:06,LEONARD,BBT,1,PRO,Frustration,Neutral,4,5
1_3837,1_3837_u,"Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.",0:08,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_3840,1_3840_u,"I read a study online that walking after a meal not only aids in digestion, but increases serotonin, and you know me, if there's one thing I like more than a refreshing beverage, it's serotonin. Bye-bye.",0:12,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_3842,1_3842_u,"So what, you're just gonna walk up and down the stairs?",0:05,HOWARD,BBT,0,NONE,Surprise,Surprise,4,6
1_3911,1_3911_u,"That's very thoughtful, but I think I'll finish my coffee first.",0:04,PERSON,BBT,0,NONE,Happiness,Happiness,4,5
1_4031,1_4031_u,"In 1917, when Albert Einstein established the theoretic foundation for the laser in his paper <i>""Zur Quantentheorie der</i> <i>Strahlung,""</i> his fondest hope was that the resultant device be bitchin'.",0:12,SHELDON,BBT,1,PRO,Disgust,Neutral,3,8
1_410,1_410_u,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.",0:05,RAJ,BBT,0,NONE,Excitement,Excitement,6,6
1_4145,1_4145_u,A lot of people are working on that research. So what is all this?,0:06,LEONARD,BBT,1,PRO,Frustration,Neutral,4,6
1_427,1_427_u,"Well, I'm sorry, too, but there's just no room for you in my wallet.",0:04,SHELDON,BBT,1,PRO,Frustration,Sadness,4,7
1_4281,1_4281_u,It was the kind of thing that makes it kind of hard to face her now.,0:05,HOWARD,BBT,0,NONE,Sadness,Sadness,4,5
1_4286,1_4286_u,"All right, all right. He can buy his own desk.",0:04,SHELDON,BBT,0,NONE,Disgust,Disgust,3,7
1_4290,1_4290_u,I just have a question. Does Bernadette ever talk about me?,0:05,HOWARD,BBT,0,NONE,Neutral,Neutral,5,5
1_430,1_430_u,"I've got some feelers out. In the meantime, listen to this.",0:05,RAJ,BBT,0,NONE,Excitement,Excitement,7,7
1_4352,1_4352_u,He does it all the time. He's a cornucopia of social awkwardness.,0:07,SHELDON,BBT,0,NONE,Sadness,Sadness,3,7
1_4477,1_4477_u,I just want to ask you a few questions about Howard Wolowitz.,0:06,PERSON,BBT,0,NONE,Frustration,Frustration,4,5
1_4544,1_4544_u,"Yes. In fact, our menses are synchronized. Penny. Bernadette tells me you're planning a girls' night.",0:13,AMY,BBT,0,NONE,Neutral,Neutral,5,5
1_4552,1_4552_u,"...so anyway, to make a long story short, turns out I have an unusually firm cervix.",0:06,AMY,BBT,0,NONE,Neutral,Neutral,5,5
1_4576,1_4576_u,"Bernadette dared me to tell a dirty story. ""The Miller's Tale"" by Chaucer is the dirtiest story I know. It would have been hidden in sock drawers if people in the 14th century had worn socks.",0:14,AMY,BBT,0,NONE,Neutral,Neutral,5,5
1_4603,1_4603_u,Is it possible that she was going for your cheek and you moved and she accidentally got lip? That happens with me and my mom all the time.,0:09,HOWARD,BBT,0,NONE,Sadness,Sadness,4,6
1_4639,1_4639_u,"Well, I'm just glad you finally found yourself a keeper.",0:04,PERSON,BBT,0,NONE,Happiness,Happiness,6,7
1_467,1_467_u,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,0:09,SHELDON,BBT,0,NONE,Happiness,Happiness,6,6
1_4743,1_4743_u,"Oh, and the science dudes want to talk science with you. What do you want to talk about-- rocks, dinosaurs, our friend the beaver?",0:12,HOWARD,BBT,1,PRO,Disgust,Happiness,3,7
1_4760,1_4760_u,"In the bedrooms of ten-year- old girls, where they belong.",0:05,SHELDON,BBT,1,PRO,Disgust,Neutral,4,6
1_4789,1_4789_u,"I don't know. Somebody bigger and... Yeah, sure. Why not you?",0:06,PERSON,BBT,1,PRO,Ridicule,Surprise,2,6
1_4792,1_4792_u,"Obviously, we're no longer a Justice League. We have no choice but to switch to our Muppet Baby costumes.",0:09,SHELDON,BBT,0,NONE,Sadness,Sadness,4,6
1_4850,1_4850_u,I understand. Your loyalty is admirable. But what if I were to up the ante?,0:07,SHELDON,BBT,0,NONE,Neutral,Neutral,5,5
1_4949,1_4949_u,"Certainly. I'd like to raise two points. Number one, I think they <i>are</i> talking about penises. And number two, these mimosas are kicking my little brown ass.",0:14,RAJ,BBT,0,NONE,Happiness,Happiness,6,7
1_4967,1_4967_u,We might be starting to zero in on your problem.,0:05,LEONARD,BBT,1,PRO,Disgust,Neutral,3,6
1_4995,1_4995_u,"Hey, you taught me something. Who would have thought it?",0:06,SHELDON,BBT,1,PRO,Disgust,Happiness,4,6
1_5058,1_5058_u,"An entire dinner to talk about your research? Where you going, the drive-thru at Jack in the Box?",0:09,SHELDON,BBT,1,EMB,Disgust,Surprise,3,7
1_506,1_506_u,Not to mention you'd have to power down on saturdays.,0:04,SHELDON,BBT,0,NONE,Sadness,Sadness,4,6
1_507,1_507_u,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.",0:09,SHELDON,BBT,1,EMB,Frustration,Neutral,3,7
1_5109,1_5109_u,"Yeah, but you were just sleeping, because I forboded you to have sex.",0:05,RAJ,BBT,0,NONE,Anger,Anger,4,6
1_5134,1_5134_u,"Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn.",0:08,PENNY,BBT,1,PRO,Disgust,Happiness,3,6
1_5156,1_5156_u,"That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?",0:09,HOWARD,BBT,1,EMB,Disgust,Happiness,3,7
1_5166,1_5166_u,"Yeah, it's a great time to be alive, isn't it?",0:04,PENNY,BBT,1,PRO,Disgust,Happiness,2,7
1_5169,1_5169_u,I'm not saying that you're not fun. You're the most fun person I know.,0:05,AMY,BBT,0,NONE,Excitement,Excitement,6,6
1_5211,1_5211_u,"Saying that while holding a snowflake is a bit heavy-handed, don't you think?",0:05,AMY,BBT,1,PRO,Disgust,Neutral,3,6
1_5212,1_5212_u,"I'm sorry, Sheldon bought a loom and learned how to weave?",0:05,PERSON3,BBT,0,NONE,Surprise,Surprise,6,6
1_533,1_533_u,"Technically, yes. But, if you'll notice... It's reversible!",0:07,LEONARD,BBT,0,NONE,Neutral,Neutral,5,5
1_536,1_536_u,Just the latest copy of Applied Particle Physics quarterly.,0:08,SHELDON,BBT,1,PRO,Frustration,Neutral,4,5
1_537,1_537_u,"Oh, you know, that is so weird that yours came and mine didn't.",0:04,PENNY,BBT,1,PRO,Ridicule,Sadness,4,7
1_5496,1_5496_u,"Okay, Amy, you're being silly. I'm not concerne d about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.",0:18,PENNY,BBT,1,EMB,Anger,Neutral,3,8
1_5571,1_5571_u,"Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.",0:07,SHELDON,BBT,1,PRO,Disgust,Excitement,3,8
